"filename", "language", "HTML", "CSS", "JavaScript", "Markdown", "JSON", "Rust", "Database", "comment", "blank", "total"
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\test\mod.rs", "Rust", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\user.rs", "Rust", 0, 0, 0, 0, 0, 74, 0, 0, 21, 95
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\fetch_handler\fetch_generator.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\fetch_handler\fetch_handler.rs", "Rust", 0, 0, 0, 0, 0, 68, 0, 22, 29, 119
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\fetch_handler\fetch_resources.rs", "Rust", 0, 0, 0, 0, 0, 17, 0, 0, 7, 24
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\fetch_handler\mod.rs", "Rust", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\fetch_handler\ordsys_response.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 23
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\fetch_handler\test.json", "JSON", 0, 0, 0, 0, 24, 0, 0, 0, 0, 24
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\fetch_handler\test.rs", "Rust", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\get_handler.rs", "Rust", 0, 0, 0, 0, 0, 154, 0, 14, 27, 195
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\init.rs", "Rust", 0, 0, 0, 0, 0, 11, 0, 35, 3, 49
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 120, 0, 17, 45, 182
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\main.rs", "Rust", 0, 0, 0, 0, 0, 162, 0, 38, 45, 245
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\order_system\mod.rs", "Rust", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\order_system\order_system.rs", "Rust", 0, 0, 0, 0, 0, 291, 0, 61, 95, 447
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\order_system\order_system_testing.rs", "Rust", 0, 0, 0, 0, 0, 96, 0, 35, 23, 154
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\post_handler\mod.rs", "Rust", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\post_handler\post_handler.rs", "Rust", 0, 0, 0, 0, 0, 272, 0, 27, 62, 361
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\post_handler\supported_resources.rs", "Rust", 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\post_handler\test.rs", "Rust", 0, 0, 0, 0, 0, 63, 0, 9, 24, 96
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\request_handler.rs", "Rust", 0, 0, 0, 0, 0, 25, 0, 4, 11, 40
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\request_line.rs", "Rust", 0, 0, 0, 0, 0, 36, 0, 2, 7, 45
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\response\mod.rs", "Rust", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\response\response.rs", "Rust", 0, 0, 0, 0, 0, 38, 0, 0, 4, 42
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\cart.html", "HTML", 118, 0, 0, 0, 0, 0, 0, 0, 18, 136
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\database_get.html", "HTML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\fetch_handler.html", "HTML", 63, 0, 0, 0, 0, 0, 0, 1, 13, 77
